constituency_name,aitc_votes,aitc_pct,nda_votes,nda_pct,nota_votes,other_votes,other_pct
Alipurduars,91326.0,41.0,107333.0,48.2,1981,22092.0,10.8
Amdanga,88935.0,42.0,63455.0,30.0,2324,57028.0,28.0
Amta,102445.0,49.1,76240.0,36.5,1302,28823.0,14.4
Arambag,95936.0,43.6,103108.0,46.9,3171,17745.0,9.5
Asansol Dakshin,83394.0,42.8,87881.0,45.1,3466,19996.0,12.1
Asansol Uttar,100931.0,52.3,79821.0,41.4,3348,8807.0,6.3
Ashoknagar,93587.0,43.2,70055.0,32.3,1611,51471.0,24.5
Ausgram,100392.0,46.2,88577.0,40.8,4039,24072.0,13.0
Baduria,109701.0,51.5,53257.0,25.0,1953,47972.0,23.5
Bagda,98319.0,44.9,108111.0,49.4,1020,11341.0,5.7
Baghmundi,75905.0,36.8,61936.0,30.0,2386,66076.0,33.2
Bagnan,106042.0,53.0,75922.0,38.0,1548,16423.0,9.0
Baharampur,62488.0,31.6,89340.0,45.2,2525,43254.0,23.2
Baisnabnagar,83061.0,39.8,80590.0,38.6,1705,43296.0,21.6
Balagarh,100364.0,45.6,94580.0,43.0,3105,21908.0,11.4
Balarampur (Purulia),89098.0,45.0,89521.0,45.2,2441,16905.0,9.8
Bally,53347.0,42.4,47110.0,37.4,1205,24210.0,20.2
Ballygunge,106585.0,70.6,31226.0,20.7,1317,11834.0,8.7
Balurghat,58693.0,38.6,72129.0,47.4,1830,19440.0,14.0
Bandwan,113337.0,47.0,94506.0,39.2,2954,30258.0,13.8
Bangaon Dakshin,95824.0,46.1,97828.0,47.1,1542,12640.0,6.8
Bangaon Uttar,87273.0,42.5,97761.0,47.6,1833,18308.0,9.9
Bankura,93998.0,43.1,95466.0,43.8,4507,24015.0,13.1
Barabani,88430.0,52.3,64973.0,38.4,3039,12765.0,9.3
Baranagar,85615.0,53.4,50468.0,31.5,2378,21798.0,15.1
Barasat,104431.0,46.3,80648.0,35.7,2688,37940.0,18.0
Barjora,93290.0,42.5,90021.0,41.0,4903,31238.0,16.5
Barrackpur,68887.0,46.5,59665.0,40.2,1930,17767.0,13.3
Baruipur Paschim,121006.0,57.3,59096.0,28.0,1536,29655.0,14.7
Baruipur Purba,123243.0,54.7,73602.0,32.7,1855,26414.0,12.6
Basanti,111453.0,52.1,60811.0,28.4,1907,39739.0,19.5
Basirhat Dakshin,115873.0,49.2,91405.0,38.8,1689,26770.0,12.0
Basirhat Uttar,137216.0,57.6,47505.0,19.9,1952,51753.0,22.5
Behala Paschim,114778.0,50.0,63894.0,27.8,2433,48382.0,22.2
Behala Purba,110968.0,50.0,73540.0,33.1,2835,34529.0,16.9
Beldanga,112862.0,55.2,59030.0,28.9,1368,31251.0,15.9
Beleghata,103182.0,65.1,36042.0,22.7,1564,17718.0,12.2
Bhabanipur,73505.0,57.7,44786.0,35.2,1570,7515.0,7.1
Bhagabangola,153795.0,68.1,16707.0,7.4,3396,52092.0,24.5
Bhagabanpur,93931.0,42.2,121480.0,54.6,1019,6220.0,3.2
Bhangar,83086.0,34.3,38726.0,16.0,3243,117130.0,49.7
Bharatpur,96226.0,50.9,53143.0,28.1,2444,37234.0,21.0
Bhatar,108028.0,50.4,76287.0,35.6,4346,25507.0,14.0
Bhatpara,43557.0,40.6,57244.0,53.4,1160,5236.0,6.0
Bidhannagar,75912.0,46.8,67915.0,41.9,2213,15995.0,11.3
Bijpur,66625.0,47.9,53278.0,38.3,1227,17966.0,13.8
Binpur,100277.0,53.1,60783.0,32.2,3305,24433.0,14.7
Bishnupur (Bankura),78269.0,40.9,89689.0,46.8,3419,20092.0,12.3
Bishnupur (South 24 Parganas),136509.0,57.5,77677.0,32.7,1863,21521.0,9.8
Bolpur,116443.0,50.6,94163.0,40.9,3337,16317.0,8.5
Budge Budge,122357.0,56.4,77643.0,35.8,2735,14157.0,7.8
Burdwan Dakshin,91015.0,44.3,82910.0,40.4,3707,27713.0,15.3
Burdwan Uttar,111211.0,46.0,93943.0,38.8,2396,34375.0,15.2
Burwan,81890.0,46.3,79141.0,44.8,2008,13764.0,8.9
Canning Paschim,111059.0,50.9,75816.0,34.7,3032,28447.0,14.4
Canning Purba,122301.0,52.5,34503.0,14.8,2267,73695.0,32.7
Chakdaha,87688.0,41.3,99368.0,46.9,1487,23521.0,11.8
Chakulia,86311.0,49.8,52474.0,30.3,1186,33429.0,19.9
Champdani,100972.0,50.2,70894.0,35.2,3347,25918.0,14.6
Chanchal,115966.0,58.1,48628.0,24.4,1023,34062.0,17.5
Chandannagar,86778.0,47.6,55749.0,30.6,3023,36628.0,21.8
Chandipur,109770.0,49.8,96298.0,43.7,736,13523.0,6.5
Chanditala,103118.0,49.8,61771.0,29.8,2156,40061.0,20.4
Chandrakona,121846.0,48.9,110565.0,44.3,2906,13998.0,6.8
Chapra,73866.0,34.7,58168.0,27.3,2023,79118.0,38.0
Chhatna,83069.0,42.2,90233.0,45.8,3514,20020.0,12.0
Chopra,124923.0,61.2,60018.0,29.4,1531,17638.0,9.4
Chowranghee,70101.0,62.9,24757.0,22.2,1212,15423.0,14.9
Chunchura,117104.0,46.0,98687.0,38.7,4338,34608.0,15.3
Cooch Behar Dakshin,86629.0,44.3,91560.0,46.8,1464,15852.0,8.9
Cooch Behar Uttar,105868.0,43.4,120483.0,49.4,1570,15995.0,7.2
Dabgram-Phulbari,101495.0,39.2,129088.0,49.8,3379,25007.0,11.0
Dantan,95209.0,48.1,94586.0,47.8,1250,6753.0,4.1
Darjeeling,0.0,0.0,68907.0,40.9,2540,97128.0,59.1
Daspur,114753.0,51.6,87911.0,39.5,1368,18432.0,8.9
Debra,95850.0,46.8,84624.0,41.3,1353,23039.0,11.9
Deganga,100105.0,46.7,38446.0,17.9,2100,73729.0,35.4
Dhanekhali,124776.0,53.4,94617.0,40.5,2182,12263.0,6.1
Dhupguri,100333.0,43.8,104688.0,45.7,1984,22318.0,10.5
Diamond Harbour,98478.0,43.7,81482.0,36.2,1449,43988.0,20.1
Dinhata,115978.0,47.6,116035.0,47.6,1537,10201.0,4.8
Domjur,130499.0,52.0,87879.0,35.0,2082,30518.0,13.0
Domkal,127671.0,56.4,12348.0,5.5,2419,83745.0,38.1
Dubrajpur,94220.0,46.1,98083.0,47.9,3157,9139.0,6.0
Dum Dum,87999.0,47.5,61268.0,33.1,2039,34028.0,19.4
Dum Dum Uttar,95465.0,44.8,66966.0,31.4,2111,48607.0,23.8
Durgapur Paschim,76522.0,38.9,91186.0,46.3,2624,26570.0,14.8
Durgapur Purba,79303.0,41.2,75557.0,39.2,2628,35186.0,19.6
Egra,125763.0,52.2,107272.0,44.5,1393,6389.0,3.3
English Bazar,87656.0,40.6,107755.0,50.0,3196,17068.0,9.4
Entally,101709.0,64.8,43452.0,27.7,991,10722.0,7.5
Falakata,99003.0,44.9,102993.0,46.7,1970,16534.0,8.4
Falta,117179.0,56.4,76405.0,36.7,1185,13163.0,6.9
Farakka,102319.0,54.9,42374.0,22.7,1638,40093.0,22.4
Gaighata,91230.0,42.8,100808.0,47.3,1409,19796.0,9.9
Galsi,109504.0,49.2,90242.0,40.6,2254,20538.0,10.2
Gangarampur,84132.0,44.4,88724.0,46.8,1149,15477.0,8.8
Garbeta,94928.0,45.7,84356.0,40.6,2719,25678.0,13.7
Gazole,98857.0,44.7,100655.0,45.5,1736,19966.0,9.8
Ghatal,104846.0,46.5,105812.0,46.9,1305,13412.0,6.6
Goalpokhar,105649.0,65.4,32135.0,19.9,2016,21735.0,14.7
Goghat,98080.0,44.7,102227.0,46.6,2482,16756.0,8.7
Gopiballavpur,104115.0,52.3,80347.0,40.4,2791,11817.0,7.3
Gosaba,105723.0,54.0,82014.0,41.9,1017,7054.0,4.1
Habibpur,74558.0,37.7,94075.0,47.5,2162,27194.0,14.8
Habra,90533.0,44.3,86692.0,42.5,1290,25656.0,13.2
Haldia,89118.0,40.4,104126.0,47.2,1413,26166.0,12.4
