constituency_name,parliament_seat_name,total_2021_electors,turnout,winner_party,winner_alliance,winner_candidate,winner_votes,winner_vote_pct,runnerup_party,runnerup_alliance,runnerup_candidate,runnerup_votes,runnerup_vote_pct,margin_votes,margin_pct
Mekliganj,Jalpaiguri,226465,83.66%,Bharatiya Janata Party,National Democratic Alliance,Jayanta Kumar Roy,766568,48.57,Trinamool Congress,Indian National Developmental Inclusive Alliance,Nirmal Chandra Roy,679875,43.07,|86693,|5.50
Mathabhanga,Cooch Behar,248022,82.16%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Jagadish Basunia,788375,48.57,Bharatiya Janata Party,National Democratic Alliance,Nisith Pramanik,749125,46.16,|39250,|2.41
Cooch Behar Uttar,Cooch Behar,282988,82.16%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Jagadish Basunia,788375,48.57,Bharatiya Janata Party,National Democratic Alliance,Nisith Pramanik,749125,46.16,|39250,|2.41
Cooch Behar Dakshin,Cooch Behar,233839,82.16%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Jagadish Basunia,788375,48.57,Bharatiya Janata Party,National Democratic Alliance,Nisith Pramanik,749125,46.16,|39250,|2.41
Sitalkuchi,Cooch Behar,285260,82.16%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Jagadish Basunia,788375,48.57,Bharatiya Janata Party,National Democratic Alliance,Nisith Pramanik,749125,46.16,|39250,|2.41
Sitai,Cooch Behar,290568,82.16%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Jagadish Basunia,788375,48.57,Bharatiya Janata Party,National Democratic Alliance,Nisith Pramanik,749125,46.16,|39250,|2.41
Dinhata,Cooch Behar,299251,82.16%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Jagadish Basunia,788375,48.57,Bharatiya Janata Party,National Democratic Alliance,Nisith Pramanik,749125,46.16,|39250,|2.41
Natabari,Cooch Behar,245040,82.16%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Jagadish Basunia,788375,48.57,Bharatiya Janata Party,National Democratic Alliance,Nisith Pramanik,749125,46.16,|39250,|2.41
Tufanganj,Alipurduars,234311,79.76%,Bharatiya Janata Party,National Democratic Alliance,Manoj Tigga,695314,48.92,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prakash Chik Baraik,619867,43.61,|75447,|5.30
Kumargram,Alipurduars,272924,79.76%,Bharatiya Janata Party,National Democratic Alliance,Manoj Tigga,695314,48.92,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prakash Chik Baraik,619867,43.61,|75447,|5.30
Kalchini,Alipurduars,247425,79.76%,Bharatiya Janata Party,National Democratic Alliance,Manoj Tigga,695314,48.92,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prakash Chik Baraik,619867,43.61,|75447,|5.30
Alipurduars,Alipurduars,260652,79.76%,Bharatiya Janata Party,National Democratic Alliance,Manoj Tigga,695314,48.92,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prakash Chik Baraik,619867,43.61,|75447,|5.30
Falakata,Alipurduars,254554,79.76%,Bharatiya Janata Party,National Democratic Alliance,Manoj Tigga,695314,48.92,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prakash Chik Baraik,619867,43.61,|75447,|5.30
Madarihat,Alipurduars,212651,79.76%,Bharatiya Janata Party,National Democratic Alliance,Manoj Tigga,695314,48.92,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prakash Chik Baraik,619867,43.61,|75447,|5.30
Dhupguri,Jalpaiguri,263118,83.66%,Bharatiya Janata Party,National Democratic Alliance,Jayanta Kumar Roy,766568,48.57,Trinamool Congress,Indian National Developmental Inclusive Alliance,Nirmal Chandra Roy,679875,43.07,|86693,|5.50
Maynaguri,Jalpaiguri,264265,83.66%,Bharatiya Janata Party,National Democratic Alliance,Jayanta Kumar Roy,766568,48.57,Trinamool Congress,Indian National Developmental Inclusive Alliance,Nirmal Chandra Roy,679875,43.07,|86693,|5.50
Jalpaiguri,Jalpaiguri,262500,83.66%,Bharatiya Janata Party,National Democratic Alliance,Jayanta Kumar Roy,766568,48.57,Trinamool Congress,Indian National Developmental Inclusive Alliance,Nirmal Chandra Roy,679875,43.07,|86693,|5.50
Rajganj,Jalpaiguri,244163,83.66%,Bharatiya Janata Party,National Democratic Alliance,Jayanta Kumar Roy,766568,48.57,Trinamool Congress,Indian National Developmental Inclusive Alliance,Nirmal Chandra Roy,679875,43.07,|86693,|5.50
Dabgram-Phulbari,Jalpaiguri,310354,83.66%,Bharatiya Janata Party,National Democratic Alliance,Jayanta Kumar Roy,766568,48.57,Trinamool Congress,Indian National Developmental Inclusive Alliance,Nirmal Chandra Roy,679875,43.07,|86693,|5.50
Mal,Jalpaiguri,237305,83.66%,Bharatiya Janata Party,National Democratic Alliance,Jayanta Kumar Roy,766568,48.57,Trinamool Congress,Indian National Developmental Inclusive Alliance,Nirmal Chandra Roy,679875,43.07,|86693,|5.50
Nagrakata,Alipurduars,237305,79.76%,Bharatiya Janata Party,National Democratic Alliance,Manoj Tigga,695314,48.92,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prakash Chik Baraik,619867,43.61,|75447,|5.30
Kalimpong,Darjeeling,211896,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Darjeeling,Darjeeling,246663,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Kurseong,Darjeeling,236477,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Matigara-Naxalbari,Darjeeling,287565,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Siliguri,Darjeeling,228406,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Phansidewa,Darjeeling,240946,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Chopra,Darjeeling,247764,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Islampur,Raiganj,219728,76.18%,Bharatiya Janata Party,National Democratic Alliance,Kartick Chandra Paul,560897,40.99,Trinamool Congress,Indian National Developmental Inclusive Alliance,Krishna Kalyani,492700,36.0,|68197,|4.99
Goalpokhar,Raiganj,224633,76.18%,Bharatiya Janata Party,National Democratic Alliance,Kartick Chandra Paul,560897,40.99,Trinamool Congress,Indian National Developmental Inclusive Alliance,Krishna Kalyani,492700,36.0,|68197,|4.99
Chakulia,Raiganj,233378,76.18%,Bharatiya Janata Party,National Democratic Alliance,Kartick Chandra Paul,560897,40.99,Trinamool Congress,Indian National Developmental Inclusive Alliance,Krishna Kalyani,492700,36.0,|68197,|4.99
Karandighi,Raiganj,262583,76.18%,Bharatiya Janata Party,National Democratic Alliance,Kartick Chandra Paul,560897,40.99,Trinamool Congress,Indian National Developmental Inclusive Alliance,Krishna Kalyani,492700,36.0,|68197,|4.99
