voting_date,district,constituency_no,constituency_name,AITC+_Party,AITC+_Candidate,NDA_Party,NDA_Candidate,LF+_Party,LF+_Candidate,INC_Party,INC_Candidate
23 April 2026,Cooch Behar,1,Mekliganj,Trinamool Congress,Paresh Adhikary,Bharatiya Janata Party,Dadhiram Roy,All India Forward Bloc,Kamal Roy,Indian National Congress,Ila Rani Roy
23 April 2026,Cooch Behar,2,Mathabhanga,Trinamool Congress,Sablu Barman,Bharatiya Janata Party,Nisith Pramanik,Communist Party of India (Marxist),Khagen Barman,Indian National Congress,Khitendra Nath Barman
23 April 2026,Cooch Behar,3,Cooch Behar Uttar,Trinamool Congress,Partha Pratim Roy,Bharatiya Janata Party,Sukumar Roy,Communist Party of India (Marxist),Pranay Karji,Indian National Congress,Partha Pratim Ishore
23 April 2026,Cooch Behar,4,Cooch Behar Dakshin,Trinamool Congress,Avijit Dey Bhowmik,Bharatiya Janata Party,Rathindra Nath Bose,All India Forward Bloc,Nazmul Alam Sarkar,Indian National Congress,Khokan Mian
23 April 2026,Cooch Behar,5,Sitalkuchi,Trinamool Congress,Harihar Das,Bharatiya Janata Party,Savitri Barman,Communist Party of India (Marxist),Nabadipti Adhikari,Indian National Congress,Sukamal Barman
23 April 2026,Cooch Behar,6,Sitai,Trinamool Congress,Sangita Roy,Bharatiya Janata Party,Ashutosh Barma,All India Forward Bloc,Arun Kumar Barma,Indian National Congress,Rabin Roy
23 April 2026,Cooch Behar,7,Dinhata,Trinamool Congress,Udayan Guha,Bharatiya Janata Party,Ajay Roy,All India Forward Bloc,Bikash Mondal,Indian National Congress,Harihar Ray Singha
23 April 2026,Cooch Behar,8,Natabari,Trinamool Congress,Sailen Barman,Bharatiya Janata Party,Girija Shankar Roy,Communist Party of India (Marxist),Akik Hassan,Indian National Congress,Biswajit Sarkar
23 April 2026,Cooch Behar,9,Tufanganj,Trinamool Congress,Shib Shankar Paul,Bharatiya Janata Party,Malati Rava Roy,Communist Party of India (Marxist),Dhananjoy Rava,Indian National Congress,Debendra Nath Barma
23 April 2026,Alipurduar,10,Kumargram,Trinamool Congress,Rajeev Tirkey,Bharatiya Janata Party,Manoj Kumar Oraon,Revolutionary Socialist Party (India),Kishore Minz,Indian National Congress,Sudham Lama
23 April 2026,Alipurduar,11,Kalchini,Trinamool Congress,Birendra Bara,Bharatiya Janata Party,Bishal Lama,Revolutionary Socialist Party (India),Passang Sherpa,Indian National Congress,Anjan Chik Baraik
23 April 2026,Alipurduar,12,Alipurduars,Trinamool Congress,Suman Kanjilal,Bharatiya Janata Party,Paritosh Das,Communist Party of India (Marxist),Shyamal Roy,Indian National Congress,Mrinmoy Sarkar
23 April 2026,Alipurduar,13,Falakata,Trinamool Congress,Subhas Chandra Roy,Bharatiya Janata Party,Dipak Barman,Communist Party of India (Marxist),Kamal Kishore Roy,Indian National Congress,Akshoy Kumar Barman
23 April 2026,Alipurduar,14,Madarihat,Trinamool Congress,Jay Prakash Toppo,Bharatiya Janata Party,Lakshman Limbu,Revolutionary Socialist Party (India),Subhas Lohar,Indian National Congress,Joy Prafulla Lakra
23 April 2026,Jalpaiguri,15,Dhupguri,Trinamool Congress,Nirmal Chandra Roy,Bharatiya Janata Party,Naresh Chandra Roy,Communist Party of India (Marxist),Niranjan Roy,Indian National Congress,Harish Chandra Roy
