constituency_name,parliament_seat_name,total_2021_electors
Mekliganj,Jalpaiguri,226465
Mathabhanga,Cooch Behar,248022
Cooch Behar Uttar,Cooch Behar,282988
Cooch Behar Dakshin,Cooch Behar,233839
Sitalkuchi,Cooch Behar,285260
Sitai,Cooch Behar,290568
Dinhata,Cooch Behar,299251
Natabari,Cooch Behar,245040
Tufanganj,Alipurduars,234311
Kumargram,Alipurduars,272924
Kalchini,Alipurduars,247425
Alipurduars,Alipurduars,260652
Falakata,Alipurduars,254554
Madarihat,Alipurduars,212651
Dhupguri,Jalpaiguri,263118
Maynaguri,Jalpaiguri,264265
Jalpaiguri,Jalpaiguri,262500
Rajganj,Jalpaiguri,244163
Dabgram-Phulbari,Jalpaiguri,310354
Mal,Jalpaiguri,237305
Nagrakata,Alipurduars,237305
Kalimpong,Darjeeling,211896
Darjeeling,Darjeeling,246663
Kurseong,Darjeeling,236477
Matigara-Naxalbari,Darjeeling,287565
Siliguri,Darjeeling,228406
Phansidewa,Darjeeling,240946
Chopra,Darjeeling,247764
Islampur,Raiganj,219728
Goalpokhar,Raiganj,224633
Chakulia,Raiganj,233378
Karandighi,Raiganj,262583
Hemtabad,Raiganj,265318
Kaliaganj,Raiganj,282575
Raiganj,Raiganj,198780
Itahar,Balurghat,229362
Kushmandi,Balurghat,219921
Kumarganj,Balurghat,203896
Balurghat,Balurghat,180390
Tapan,Balurghat,220236
Gangarampur,Balurghat,224040
Harirampur,Balurghat,228189
Habibpur,Maldaha Uttar,249957
Gazole,Maldaha Uttar,267096
Chanchal,Maldaha Uttar,249402
Harishchandrapur,Maldaha Uttar,252487
Malatipur,Maldaha Uttar,231907
Ratua,Maldaha Uttar,282451
Manikchak,Maldaha Dakshin,253353
Maldaha,Maldaha Uttar,245962
English Bazar,Maldaha Dakshin,275296
Mothabari,Maldaha Dakshin,196324
Sujapur,Maldaha Dakshin,251186
Baisnabnagar,Maldaha Dakshin,246956
Farakka,Maldaha Dakshin,227549
Samserganj,Maldaha Dakshin,235576
Suti,Jangipur,265418
Jangipur,Jangipur,255064
Raghunathganj,Jangipur,249559
Sagardighi,Jangipur,236885
Lalgola,Jangipur,234381
Bhagabangola,Murshidabad,263765
Raninagar,Murshidabad,256101
Murshidabad,Murshidabad,268221
Nabagram,Jangipur,251378
Khargram,Jangipur,228923
Burwan,Baharampur,217500
Kandi,Baharampur,238973
Bharatpur,Baharampur,243603
Rejinagar,Baharampur,259771
Beldanga,Baharampur,252944
Baharampur,Baharampur,260667
Hariharpara,Murshidabad,247421
Naoda,Baharampur,247688
Domkal,Murshidabad,266283
Jalangi,Murshidabad,261258
Karimpur,Murshidabad,251039
Tehatta,Krishnanagar,252454
Palashipara,Krishnanagar,244867
Kaliganj,Krishnanagar,248358
Nakashipara,Krishnanagar,247691
Chapra,Krishnanagar,248014
Krishnanagar Uttar,Krishnanagar,238220
Nabadwip,Ranaghat,243159
Krishnanagar Dakshin,Krishnanagar,225118
Santipur,Ranaghat,255619
Ranaghat Uttar Paschim,Ranaghat,265846
Krishnaganj,Ranaghat,273728
Ranaghat Uttar Purba,Ranaghat,264929
Ranaghat Dakshin,Ranaghat,285180
Chakdaha,Ranaghat,245514
Kalyani,Bongaon,257683
Haringhata,Bongaon,240606
Bagda,Bongaon,277464
Bangaon Uttar,Bongaon,251387
Bangaon Dakshin,Bongaon,248278
Gaighata,Bongaon,252053
Swarupnagar,Bongaon,246109
Baduria,Basirhat,243747
Habra,Barasat,242425
Ashoknagar,Barasat,257180
Amdanga,Barrackpore,242462
Bijpur,Barrackpore,192316
Naihati,Barrackpore,193930
Bhatpara,Barrackpore,154037
Jagatdal,Barrackpore,233871
Noapara,Barrackpore,262133
Barrackpur,Barrackpore,215336
Khardaha,Dum Dum,232619
Dum Dum Uttar,Dum Dum,273015
Panihati,Dum Dum,230748
Kamarhati,Dum Dum,197013
Baranagar,Dum Dum,217774
Dum Dum,Dum Dum,247858
Rajarhat New Town,Barasat,289075
Bidhannagar,Barasat,243360
Rajarhat Gopalpur,Dum Dum,257447
Madhyamgram,Barasat,272397
Barasat,Barasat,279592
Deganga,Barasat,242652
Haroa,Basirhat,259206
Minakhan,Basirhat,236528
Sandeshkhali,Basirhat,238633
Basirhat Dakshin,Basirhat,275934
Basirhat Uttar,Basirhat,268034
Hingalganj,Basirhat,228508
Gosaba,Joynagar,230348
Basanti,Joynagar,260681
Kultali,Joynagar,265561
Patharpratima,Mathurapur,263675
Kakdwip,Mathurapur,247826
Sagar,Mathurapur,274715
Kulpi,Mathurapur,220144
Raidighi,Mathurapur,273558
Mandirbazar,Mathurapur,229129
Jaynagar,Joynagar,239968
Baruipur Purba,Jadavpur,265091
Canning Paschim,Joynagar,257681
Canning Purba,Joynagar,262439
Baruipur Paschim,Jadavpur,253749
Magrahat Purba,Joynagar,242530
Magrahat Paschim,Mathurapur,229437
Diamond Harbour,Diamond Harbour,255132
Falta,Diamond Harbour,236768
Satgachhia,Diamond Harbour,270193
Bishnupur (South 24 Parganas),Diamond Harbour,278850
Sonarpur Dakshin,Jadavpur,288623
Bhangar,Jadavpur,271897
Kasba,Kolkata Dakshin,306266
Jadavpur,Jadavpur,299818
Sonarpur Uttar,Jadavpur,269713
Tollyganj,Jadavpur,269713
Behala Purba,Kolkata Dakshin,308285
Behala Paschim,Kolkata Dakshin,313198
Maheshtala,Diamond Harbour,271007
Budge Budge,Diamond Harbour,256136
Metiaburuz,Diamond Harbour,256315
Kolkata Port,Kolkata Dakshin,235933
Bhabanipur,Kolkata Dakshin,206389
Rashbehari,Kolkata Dakshin,206013
Ballygunge,Kolkata Dakshin,247662
Chowranghee,Kolkata Uttar,208201
Entally,Kolkata Uttar,230814
Beleghata,Kolkata Uttar,250881
Jorasanko,Kolkata Uttar,197950
Shyampukur,Kolkata Uttar,176557
Maniktola,Kolkata Uttar,211308
Kashipur Belgachhia,Kolkata Uttar,223714
Bally,Howrah,176197
Howrah Uttar,Howrah,218547
Howrah Madhya,Howrah,266542
Shibpur,Howrah,233676
Howrah Dakshin,Howrah,294243
Sankrail,Howrah,277076
Panchla,Howrah,266183
Uluberia Purba,Uluberia,233764
Uluberia Uttar,Uluberia,185834
Uluberia Dakshin,Uluberia,237620
Shyampur,Uluberia,257593
Bagnan,Uluberia,232216
Amta,Uluberia,261181
Udaynarayanpur,Uluberia,235467
Jagatballavpur,Sreerampur,288158
Domjur,Sreerampur,299250
Uttarpara,Sreerampur,259814
Sreerampur,Sreerampur,252758
Champdani,Sreerampur,263372
Singur,Hooghly,246867
Chandannagar,Hooghly,229572
Chunchura,Hooghly,314274
Balagarh,Hooghly,258955
Pandua,Hooghly,270503
Saptagram,Hooghly,238840
Chanditala,Sreerampur,263257
Jangipara,Sreerampur,257025
Haripal,Arambagh,269649
Dhanekhali,Hooghly,275518
Tarakeswar,Arambagh,239820
Pursurah,Arambagh,259998
Arambag,Arambagh,257621
Goghat,Arambagh,246570
Khanakul,Arambagh,277259
Tamluk,Tamluk,266881
Panskura Purba,Tamluk,236306
Panskura Paschim,Ghatal,274092
Moyna,Tamluk,255164
Nandakumar,Tamluk,253829
Mahisadal,Tamluk,245266
Haldia,Tamluk,251051
Nandigram,Tamluk,257992
Chandipur,Kanthi,245775
Patashpur,Kanthi,236413
Kanthi Uttar,Kanthi,257427
Bhagabanpur,Kanthi,254184
Khejuri,Kanthi,238630
Kanthi Dakshin,Kanthi,224657
Ramnagar (Purba Medinipur),Kanthi,264900
Egra,Medinipur,284614
Dantan,Medinipur,233841
Nayagram,Jhargram,226791
Gopiballavpur,Jhargram,226417
Jhargram,Jhargram,236035
Keshiary,Medinipur,238835
Kharagpur Sadar,Medinipur,234672
Narayangarh,Medinipur,243832
Sabang,Ghatal,264783
Pingla,Ghatal,255054
Kharagpur,Medinipur,227081
Debra,Ghatal,234184
Daspur,Ghatal,298096
Ghatal,Ghatal,279908
Chandrakona,Arambagh,279867
Garbeta,Jhargram,232046
Salboni,Jhargram,276940
Keshpur,Ghatal,261529
Medinipur,Medinipur,230061
Binpur,Jhargram,224036
Bandwan,Jhargram,284840
Balarampur (Purulia),Purulia,238113
Baghmundi,Purulia,249613
Joypur (Purulia),Purulia,249621
Purulia,Purulia,258947
Manbazar,Purulia,253708
Kashipur,Purulia,238871
Para,Purulia,243906
Raghunathpur (Purulia),Bankura,259434
Saltora,Bankura,232517
Chhatna,Bankura,242770
Ranibandh,Bankura,255359
Raipur (Bankura),Bankura,224604
Taldangra,Bankura,233291
Bankura,Bankura,269289
Barjora,Bishnupur,250279
Onda,Bishnupur,256906
Bishnupur (Bankura),Bishnupur,219824
Katulpur,Bishnupur,246785
Indas,Bishnupur,242938
Sonamukhi,Bishnupur,233059
Khandaghosh,Bishnupur,242730
Burdwan Dakshin,Bardhaman–Durgapur,257940
Raina,Bardhaman Purba,258742
Jamalpur,Bardhaman Purba,235793
Manteswar,Bardhaman–Durgapur,242229
Kalna,Bardhaman Purba,241741
Memari,Bardhaman Purba,254236
Burdwan Uttar,Bardhaman–Durgapur,277026
Bhatar,Bardhaman–Durgapur,246694
Purbasthali Dakshin,Bardhaman Purba,248533
Purbasthali Uttar,Bardhaman Purba,252626
Katwa,Bardhaman Purba,267738
Ketugram,Bolpur,258310
Mangalkot,Bolpur,251003
Ausgram,Bolpur,246956
Galsi,Bardhaman–Durgapur,256642
Pandaveswar,Asansol,211960
Durgapur Purba,Bardhaman–Durgapur,256531
Durgapur Paschim,Bardhaman–Durgapur,269303
Raniganj,Asansol,250813
Jamuria,Asansol,221419
Asansol Dakshin,Asansol,274245
Asansol Uttar,Asansol,275796
Kulti,Asansol,251671
Barabani,Asansol,225396
Dubrajpur,Birbhum,241742
Suri,Birbhum,263557
Bolpur,Bolpur,273896
Nanoor,Bolpur,276777
Labhpur,Bolpur,240044
Sainthia,Birbhum,255959
Mayureswar,Bolpur,230682
Rampurhat,Birbhum,260812
Hansan,Birbhum,248113
Nalhati,Birbhum,244837
Murarai,Birbhum,263200
