constituency_no,constituency_name,reservation,turnout,winner_party,winner_alliance,winner_candidate,winner_votes,winner_vote_pct,runnerup_party,runnerup_alliance,runnerup_candidate,runnerup_votes,runnerup_vote_pct,margin_votes,margin_pct
1,Cooch Behar,SC,82.16%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Jagadish Basunia,788375,48.57,Bharatiya Janata Party,National Democratic Alliance,Nisith Pramanik,749125,46.16,|39250,|2.41
2,Alipurduars,ST,79.76%,Bharatiya Janata Party,National Democratic Alliance,Manoj Tigga,695314,48.92,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prakash Chik Baraik,619867,43.61,|75447,|5.30
3,Jalpaiguri,SC,83.66%,Bharatiya Janata Party,National Democratic Alliance,Jayanta Kumar Roy,766568,48.57,Trinamool Congress,Indian National Developmental Inclusive Alliance,Nirmal Chandra Roy,679875,43.07,|86693,|5.50
4,Darjeeling,,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
5,Raiganj,,76.18%,Bharatiya Janata Party,National Democratic Alliance,Kartick Chandra Paul,560897,40.99,Trinamool Congress,Indian National Developmental Inclusive Alliance,Krishna Kalyani,492700,36.00,|68197,|4.99
6,Balurghat,,79.09%,Bharatiya Janata Party,National Democratic Alliance,Sukanta Majumder,574996,46.47,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biplab Mitra,564610,45.63,|10386,|0.84
7,Maldaha Uttar,,76.03%,Bharatiya Janata Party,National Democratic Alliance,Khagen Murmu,527023,37.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,449315,31.70,|77708,|5.48
8,Maldaha Dakshin,,76.69%,Indian National Congress,Indian National Developmental Inclusive Alliance,Isha Khan Choudhury,572395,41.79,Bharatiya Janata Party,National Democratic Alliance,Sreerupa Mitra Chaudhury,444027,32.42,|128368,|9.37
9,Jangipur,,75.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Khalilur Rahaman,544427,39.75,Indian National Congress,Indian National Developmental Inclusive Alliance,Murtaza Hossain,427790,31.23,|116637,|8.52
10,Baharampur,,77.54%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Yusuf Pathan,524516,37.88,Indian National Congress,Indian National Developmental Inclusive Alliance,Adhir Ranjan Chowdhury,439494,31.74,|85022,|6.14
11,Murshidabad,,81.52%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abu Taher Khan,682442,44.27,Communist Party of India (Marxist),Indian National Developmental Inclusive Alliance,Mohammed Salim,518227,33.62,|164215,|10.65
12,Krishnanagar,,80.65%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mahua Moitra,628789,44.10,Bharatiya Janata Party,National Democratic Alliance,Amrita Roy,572084,40.13,|56705,|3.98
13,Ranaghat,SC,81.87%,Bharatiya Janata Party,National Democratic Alliance,Jagannath Sarkar,782396,50.78,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mukut Mani Adhikari,595497,38.65,|186899,|12.13
14,Bongaon,SC,81.04%,Bharatiya Janata Party,National Democratic Alliance,Shantanu Thakur,719505,48.19,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biswajit Das,645812,43.25,|73693,|4.94
15,Barrackpore,,75.41%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Partha Bhowmick,520231,45.56,Bharatiya Janata Party,National Democratic Alliance,Arjun Singh,455793,39.92,|64438,|5.64
16,Dum Dum,,73.81%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saugata Roy,528579,41.95,Bharatiya Janata Party,National Democratic Alliance,Shilbhadra Dutta,457919,36.34,|70660,|5.61
