eroll_no,constituency_name,gender,age_band,area_type,R,G,SG,n_individuals,stratum_share
1.0,Mekliganj,Female,26-35,Rur,H,GEN,GUC,283,0.0808802515004287
1.0,Mekliganj,Male,36-45,Rur,H,GEN,GUC,274,0.07830808802515
1.0,Mekliganj,Male,26-35,Rur,H,GEN,GUC,272,0.0777364961417547
1.0,Mekliganj,Female,36-45,Rur,H,GEN,GUC,244,0.0697342097742212
1.0,Mekliganj,Male,46-60,Rur,H,GEN,GUC,213,0.0608745355815947
1.0,Mekliganj,Female,46-60,Rur,H,GEN,GUC,185,0.0528722492140611
1.0,Mekliganj,Male,18-25,Rur,H,GEN,GUC,145,0.041440411546156
1.0,Mekliganj,Male,60+,Rur,H,GEN,GUC,131,0.0374392683623892
1.0,Mekliganj,Female,60+,Rur,H,GEN,GUC,125,0.0357244927122034
1.0,Mekliganj,Female,18-25,Rur,H,GEN,GUC,103,0.0294369819948556
1.0,Mekliganj,Female,26-35,Rur,M,OBC,BM,55,0.0157187767933695
1.0,Mekliganj,Female,36-45,Rur,H,SC,RAJ,44,0.0125750214346956
1.0,Mekliganj,Female,46-60,Rur,H,SC,RAJ,41,0.0117176336096027
1.0,Mekliganj,Female,26-35,Rur,M,GEN,BM,40,0.0114318376679051
1.0,Mekliganj,Male,26-35,Rur,M,OBC,BM,38,0.0108602457845098
1.0,Mekliganj,Male,36-45,Rur,M,OBC,BM,38,0.0108602457845098
1.0,Mekliganj,Male,26-35,Rur,M,GEN,BM,37,0.0105744498428122
1.0,Mekliganj,Female,46-60,Rur,M,OBC,BM,35,0.0100028579594169
1.0,Mekliganj,Female,26-35,Rur,H,SC,MAT,34,0.0097170620177193
1.0,Mekliganj,Female,26-35,Rur,H,SC,RAJ,34,0.0097170620177193
1.0,Mekliganj,Female,36-45,Rur,M,GEN,BM,32,0.009145470134324
1.0,Mekliganj,Female,60+,Rur,H,SC,RAJ,31,0.0088596741926264
1.0,Mekliganj,Male,26-35,Rur,H,SC,RAJ,31,0.0088596741926264
1.0,Mekliganj,Female,36-45,Rur,M,OBC,BM,30,0.0085738782509288
1.0,Mekliganj,Male,46-60,Rur,H,SC,RAJ,30,0.0085738782509288
1.0,Mekliganj,Male,36-45,Rur,M,GEN,BM,29,0.0082880823092312
1.0,Mekliganj,Male,36-45,Rur,H,SC,RAJ,28,0.0080022863675335
1.0,Mekliganj,Male,60+,Rur,H,SC,RAJ,28,0.0080022863675335
1.0,Mekliganj,Male,26-35,Rur,H,SC,MAT,25,0.0071448985424406
1.0,Mekliganj,Female,60+,Rur,M,OBC,BM,24,0.006859102600743
1.0,Mekliganj,Male,36-45,Rur,H,SC,MAT,24,0.006859102600743
1.0,Mekliganj,Female,46-60,Rur,M,GEN,BM,22,0.0062875107173478
1.0,Mekliganj,Male,46-60,Rur,M,GEN,BM,22,0.0062875107173478
1.0,Mekliganj,Male,46-60,Rur,M,OBC,BM,22,0.0062875107173478
1.0,Mekliganj,Male,60+,Rur,M,OBC,BM,22,0.0062875107173478
1.0,Mekliganj,Female,36-45,Rur,H,SC,MAT,21,0.0060017147756501
1.0,Mekliganj,Male,18-25,Rur,H,SC,RAJ,21,0.0060017147756501
1.0,Mekliganj,Female,60+,Rur,M,GEN,BM,20,0.0057159188339525
1.0,Mekliganj,Male,46-60,Rur,H,SC,MAT,19,0.0054301228922549
1.0,Mekliganj,Male,60+,Rur,M,GEN,BM,18,0.0051443269505573
1.0,Mekliganj,Female,18-25,Rur,M,GEN,BM,17,0.0048585310088596
1.0,Mekliganj,Male,18-25,Rur,M,OBC,BM,17,0.0048585310088596
1.0,Mekliganj,Female,18-25,Rur,M,OBC,BM,16,0.004572735067162
1.0,Mekliganj,Female,46-60,Rur,H,SC,MAT,16,0.004572735067162
1.0,Mekliganj,Female,18-25,Rur,H,SC,RAJ,15,0.0042869391254644
1.0,Mekliganj,Female,60+,Rur,H,SC,MAT,15,0.0042869391254644
1.0,Mekliganj,Male,18-25,Rur,H,SC,MAT,14,0.0040011431837667
1.0,Mekliganj,Male,46-60,Rur,H,OBC,MAH,14,0.0040011431837667
1.0,Mekliganj,Male,60+,Rur,H,OBC,MAH,14,0.0040011431837667
1.0,Mekliganj,Male,46-60,Rur,H,OBC,MAT,13,0.0037153472420691
1.0,Mekliganj,Male,60+,Rur,H,SC,MAT,13,0.0037153472420691
1.0,Mekliganj,Female,26-35,Rur,H,OBC,MAT,12,0.0034295513003715
1.0,Mekliganj,Female,18-25,Rur,H,SC,MAT,11,0.0031437553586739
1.0,Mekliganj,Female,60+,Rur,H,OBC,MAT,10,0.0028579594169762
1.0,Mekliganj,Female,46-60,Rur,H,OBC,O,9,0.0025721634752786
1.0,Mekliganj,Male,26-35,Rur,H,OBC,MAH,9,0.0025721634752786
1.0,Mekliganj,Female,46-60,Rur,H,OBC,MAT,8,0.002286367533581
1.0,Mekliganj,Female,60+,Rur,H,ST,SAN,8,0.002286367533581
1.0,Mekliganj,Female,36-45,Rur,H,OBC,MAH,7,0.0020005715918833
1.0,Mekliganj,Male,18-25,Rur,M,GEN,BM,7,0.0020005715918833
1.0,Mekliganj,Female,18-25,Rur,H,OBC,O,6,0.0017147756501857
1.0,Mekliganj,Female,36-45,Rur,H,OBC,MAT,6,0.0017147756501857
1.0,Mekliganj,Female,46-60,Rur,H,OBC,MAH,6,0.0017147756501857
1.0,Mekliganj,Male,18-25,Rur,H,OBC,MAT,6,0.0017147756501857
1.0,Mekliganj,Male,26-35,Rur,H,OBC,O,6,0.0017147756501857
1.0,Mekliganj,Male,36-45,Rur,H,OBC,MAT,6,0.0017147756501857
1.0,Mekliganj,Female,36-45,Rur,H,SC,O,5,0.0014289797084881
1.0,Mekliganj,Female,46-60,Rur,H,SC,O,5,0.0014289797084881
1.0,Mekliganj,Male,26-35,Rur,H,SC,O,5,0.0014289797084881
1.0,Mekliganj,Male,36-45,Rur,H,OBC,MAH,5,0.0014289797084881
1.0,Mekliganj,Male,36-45,Rur,H,OBC,O,5,0.0014289797084881
1.0,Mekliganj,Male,60+,Rur,H,OBC,O,5,0.0014289797084881
1.0,Mekliganj,Female,26-35,Rur,H,SC,O,4,0.0011431837667905
1.0,Mekliganj,Female,60+,Rur,H,OBC,O,4,0.0011431837667905
1.0,Mekliganj,Female,18-25,Rur,H,GEN,MAT,3,0.0008573878250928
1.0,Mekliganj,Female,26-35,Rur,H,OBC,O,3,0.0008573878250928
1.0,Mekliganj,Female,36-45,Rur,H,GEN,MAT,3,0.0008573878250928
1.0,Mekliganj,Female,36-45,Rur,H,OBC,O,3,0.0008573878250928
1.0,Mekliganj,Female,46-60,Rur,H,ST,RAJ,3,0.0008573878250928
1.0,Mekliganj,Female,60+,Rur,H,SC,O,3,0.0008573878250928
1.0,Mekliganj,Male,26-35,Rur,H,OBC,GUC,3,0.0008573878250928
1.0,Mekliganj,Female,18-25,Rur,H,OBC,MAH,2,0.0005715918833952
1.0,Mekliganj,Female,26-35,Rur,H,GEN,MAT,2,0.0005715918833952
1.0,Mekliganj,Female,26-35,Rur,H,OBC,MAH,2,0.0005715918833952
1.0,Mekliganj,Female,26-35,Rur,H,ST,SAN,2,0.0005715918833952
1.0,Mekliganj,Female,36-45,Rur,H,ST,RAJ,2,0.0005715918833952
1.0,Mekliganj,Female,46-60,Rur,H,ST,SAN,2,0.0005715918833952
1.0,Mekliganj,Female,60+,Rur,H,GEN,MAT,2,0.0005715918833952
1.0,Mekliganj,Female,60+,Rur,H,OBC,MAH,2,0.0005715918833952
1.0,Mekliganj,Male,18-25,Rur,H,OBC,MAH,2,0.0005715918833952
1.0,Mekliganj,Male,18-25,Rur,H,OBC,O,2,0.0005715918833952
1.0,Mekliganj,Male,18-25,Rur,H,SC,O,2,0.0005715918833952
1.0,Mekliganj,Male,18-25,Rur,H,ST,SAN,2,0.0005715918833952
1.0,Mekliganj,Male,26-35,Rur,H,OBC,MAT,2,0.0005715918833952
1.0,Mekliganj,Male,26-35,Rur,H,SC,NAM,2,0.0005715918833952
1.0,Mekliganj,Male,26-35,Rur,H,ST,SAN,2,0.0005715918833952
1.0,Mekliganj,Male,36-45,Rur,H,GEN,MAT,2,0.0005715918833952
1.0,Mekliganj,Male,36-45,Rur,H,SC,O,2,0.0005715918833952
1.0,Mekliganj,Male,36-45,Rur,H,ST,RAJ,2,0.0005715918833952
1.0,Mekliganj,Male,46-60,Rur,H,OBC,O,2,0.0005715918833952
1.0,Mekliganj,Male,46-60,Rur,H,OBC,RAJ,2,0.0005715918833952
1.0,Mekliganj,Male,46-60,Rur,H,SC,O,2,0.0005715918833952
1.0,Mekliganj,Male,46-60,Rur,H,ST,SAN,2,0.0005715918833952
1.0,Mekliganj,Male,46-60,Rur,O,ST,SAN,2,0.0005715918833952
1.0,Mekliganj,Male,60+,Rur,H,OBC,MAT,2,0.0005715918833952
1.0,Mekliganj,Male,60+,Rur,H,SC,MAH,2,0.0005715918833952
1.0,Mekliganj,Barman,46-60,Rur,O,ST,SAN,1,0.0002857959416976
1.0,Mekliganj,Female,18-25,Rur,H,GEN,RAJ,1,0.0002857959416976
