constituency,AITC+_candidate,AITC+_total_votes,AITC+_vote_share,BJP_candidate,BJP_total_votes,BJP_vote_share,Other_candidate,Other_total_votes,Other_vote_share
Alipurduars,SUMAN KANJILAL,72822,31.33,PARITOSH DAS,143242,61.62,SHYAMAL ROY,14948,6.44
Amdanga,MOHAMMAD KASEM SIDDIQUE,81670,38.25,ARINDAM DEY,78675,36.85,BISWAJIT MAITY,52367,24.52
Amta,SUKANTA KUMAR PAUL,100195,42.28,AMIT SAMANTA,104649,44.16,JOSHIMUDDIN MALLICK,29696,12.53
Arambag,BAG MITA,94041,39.87,BAG HEMANTA,123000,52.15,BITHIKA PANDIT,18834,7.98
Asansol Dakshin,TAPAS BANERJEE,78743,36.49,AGNIMITRA PAUL,119582,55.42,SILPI CHAKRABORTY,16678,7.71
Asansol Uttar,MOLOY GHATAK,92901,44.11,KRISHNENDU MUKHERJEE,104516,49.63,AKHILESH KUMAR SINGH,11866,5.63
Ashoknagar,NARAYAN GOSWAMI,87399,39.77,DR. SUMAY HIRA,96807,44.05,TAPAS BANERJEE,35252,16.04
Ausgram,SHYAMA PRASANNA LOHAR,95157,42.13,KALITA MAJI,107692,47.68,CHANCHAL KUMAR MAJHI,23037,10.18
Baduria,BURHANUL MUKADDIM (LITON),103334,45.45,SUKRITI KUMAR SARKAR,63273,27.83,MD. KUTUBUDDIN FATEHE,57614,25.34
Bagda,MADHUPARNA THAKUR,86691,39.91,SOMA THAKUR,121307,55.84,GOUR BISWAS,7932,3.65
Baghmundi,SUSHANTA MAHATO,71846,31.22,RAHIDAS MAHATO,112663,48.95,NEPAL CHANDRA MAHATO,43514,18.91
Bagnan,ARUNAVA SEN,105060,48.1,PRAMANSHU RANA,93744,42.92,BHASKAR ROY,18648,8.53
Baharampur,NARU GOPAL MUKHERJEE,49586,22.11,SUBRATA MAITRA (KANCHAN),91088,40.62,ADHIR RANJAN CHOWDHURY,82349,36.73
Baisnabnagar,CHANDANA SARKAR,61811,27.49,RAJU KARMAKAR,108692,48.34,MAMUNI MANDAL,53937,23.98
Balagarh,RANJAN DHARA,83710,37.03,SUMANA SARKAR,125624,55.58,BIKASH GOLDER,16697,7.4
Balarampur (Purulia),SHANTIRAM MAHATO,83370,37.9,JALADHAR MAHATO,118421,53.84,NAMITA MAHATO,17525,7.97
Bally,KAILASH KUMAR MISHRA,45642,38.73,SANJAY KUMAR SINGH,57639,48.91,SANKAR MAITRA,14093,11.96
Ballygunge,SOBHANDEB CHATTOPADHYAY,108481,64.81,SHATORUPA,47005,28.08,AFREEN BEGUM,11267,6.74
Balurghat,ARPITA GHOSH,48121,30.4,BIDYUT KUMAR ROY,95697,60.45,ARNAB CHOWDHURY,13359,8.44
Bandwan,RAJIB LOCHAN SAREN,104503,39.26,LABSEN BASKEY,134080,50.37,RATHU SINGH,26441,9.92
Bangaon Dakshin,RITUPARNA ADDHYA,81585,38.45,SWAPAN MAJUMDER,119399,56.27,ASISH KUMAR SARKAR,9979,4.7
Bangaon Uttar,BISWAJIT DAS,78647,37.21,ASHOK KIRTANIA,119317,56.46,PIJUSH KANTI SAHA,12614,5.97
Bankura,DR. ANUP MANDAL,82815,34.6,NILADRI SEKHAR DANA,136992,57.24,AVOYANANDA MUKHOPADHYAY,19074,7.96
Barabani,BIDHAN UPADHYAY,80055,43.21,ARIJIT ROY,91777,49.54,BISWAJIT BAURI (BAPI),13442,7.24
Baranagar,SAYANTIKA BANERJEE,64774,38.25,SAJAL GHOSH,81730,48.26,SAYANDEEP MITRA,22007,12.99
Barasat,SABYASACHI DUTTA,87613,37.03,SANKAR CHATTERJEE,122171,51.64,HEMANTA DAS,25456,10.75
Burdwan Dakshin,KHOKAN DAS,77284,37.73,MOUMITA BISWAS MISRA,107754,52.61,SUDIPTA GUPTA,19176,9.35
Burdwan Uttar,NISITH KUMAR MALIK,112688,45.45,SANJOY DAS,106228,42.85,MAMONI MONDAL (ROY),27666,11.15
Barjora,GOUTAM MISHRA (SHYAM),84109,35.74,BILLESWAR SINHA,125419,53.29,SUJIT CHAKRABORTY,22735,9.66
Barrackpur,RAJ CHAKRABORTY (RAJU),62644,40.44,KAUSTUV BAGCHI,78466,50.65,SUMAN RANJAN BANDYOPADHYAY,13445,8.68
Baruipur Paschim,BIMAN BANERJEE,104781,47.41,BISWAJIT PAUL,86919,39.32,MD LAHEK ALI,28584,12.93
Baruipur Purba,BIVAS SARDAR,120987,50.98,TUMPA SARDAR,89172,37.57,SWAPAN NASKAR,25739,10.85
Basanti,NILIMA MISTRY BISHAL,127495,54.99,BIKASH SARDAR,71314,30.76,ASIT ROY,32446,13.99
Basirhat Dakshin,SURAJIT MITRA (BADAL),112965,45.09,DR. SOURYA BANERJEE,103421,41.28,AYNUL AREFIN(RAJU AHMED),32491,12.97
Basirhat Uttar,MD. TAUSEFFUR RAHMAN,115503,48.42,KOUSHIK SIDHARTHA,55211,23.14,MD. MUSA KAREMULLA,65182,27.33
Behala Paschim,RATNA CHATTERJEE,88472,37.05,DR. INDRANIL KHAN,113171,47.39,NIHAR BHAKTA,35549,14.88
Behala Purba,SUBHASISH CHAKRABORTY,90365,38.5,SANKAR SIKDER,115502,49.22,DR NILAY MAJUMDAR,27492,11.71
Beldanga,RABIUL ALAM CHOWDHURY,59664,26.1,BHARAT KUMAR JHAWAR,72872,31.88,SHOAIB AHMED,96055,42.02
Beleghata,KUNAL KUMAR GHOSH,93757,53.85,PARTHA CHAUDHURY,65181,37.44,PARAMITA ROY,14335,8.24
Bhabanipur,MAMATA BANERJEE,58812,42.19,ADHIKARI SUVENDU,73917,53.02,SHRIJEEB BISWAS,6240,4.47
Bhagabanpur,MANAB KUMAR PARUA,109708,44.3,SANTANU PRAMANIK,130586,52.73,PRATIVA RANI KAR SHASMAL,7359,2.96
Bhagabangola,REYAT HOSSAIN SARKAR,105997,48.57,BHASKAR SARKAR,23104,10.59,MAHAMUDAL HASAN,88598,40.6
Bhangar,SAOKAT MOLLA,94467,35.33,JAYANTA GAYEN,30177,11.29,MD NAWSAD SIDDIQUE,136103,50.9
Bharatpur,MUSTAFIJUR RAHAMAN (SUMAN),90870,42.38,ANAMIKA GHOSH,60117,28.04,AZHERUDDIN MD (SIZAR),61236,28.56
Bhatar,KONER SHANTANU,92292,42.99,KARFA SOUMEN,98820,46.03,HASINA KHATUN,21934,10.22
Bhatpara,AMIT GUPTA,38876,36.57,PAWAN KUMAR SINGH,61683,58.02,ASH NARAYAN SINGH,5434,5.1
