constituency,Aam Janata Unnayan party_candidate,Aam Janata Unnayan party_total_votes,Aam Janata Unnayan party_vote_share,Akhil Bharatiya Gorkha League_candidate,Akhil Bharatiya Gorkha League_total_votes,Akhil Bharatiya Gorkha League_vote_share,All India Forward Bloc_candidate,All India Forward Bloc_total_votes,All India Forward Bloc_vote_share,All India Majlis-E-Inquilab-E-Millat_candidate,All India Majlis-E-Inquilab-E-Millat_total_votes,All India Majlis-E-Inquilab-E-Millat_vote_share,All India Majlis-E-Ittehadul Muslimeen_candidate,All India Majlis-E-Ittehadul Muslimeen_total_votes,All India Majlis-E-Ittehadul Muslimeen_vote_share,All India Secular Front_candidate,All India Secular Front_total_votes,All India Secular Front_vote_share,All India Trinamool Congress_candidate,All India Trinamool Congress_total_votes,All India Trinamool Congress_vote_share,Ambedkarite Party of India_candidate,Ambedkarite Party of India_total_votes,Ambedkarite Party of India_vote_share,Amra Bangalee_candidate,Amra Bangalee_total_votes,Amra Bangalee_vote_share,Bahujan Mukti Party_candidate,Bahujan Mukti Party_total_votes,Bahujan Mukti Party_vote_share,Bahujan Samaj Party_candidate,Bahujan Samaj Party_total_votes,Bahujan Samaj Party_vote_share,Bharateeya Manavadhikar party_candidate,Bharateeya Manavadhikar party_total_votes,Bharateeya Manavadhikar party_vote_share,Bharatiya Gorkha Prajatantrik Morcha_candidate,Bharatiya Gorkha Prajatantrik Morcha_total_votes,Bharatiya Gorkha Prajatantrik Morcha_vote_share,Bharatiya Janata Party_candidate,Bharatiya Janata Party_total_votes,Bharatiya Janata Party_vote_share,Bharatiya National Janata Dal_candidate,Bharatiya National Janata Dal_total_votes,Bharatiya National Janata Dal_vote_share,Bharatiya Nyay-Adhikar Raksha Party_candidate,Bharatiya Nyay-Adhikar Raksha Party_total_votes,Bharatiya Nyay-Adhikar Raksha Party_vote_share,Bharatiya Rashtriya Forward Bloc_candidate,Bharatiya Rashtriya Forward Bloc_total_votes,Bharatiya Rashtriya Forward Bloc_vote_share,Bhartiya Lokmat Rashtrawadi Party_candidate,Bhartiya Lokmat Rashtrawadi Party_total_votes,Bhartiya Lokmat Rashtrawadi Party_vote_share,Bhartiya Rashtriya Dal_candidate,Bhartiya Rashtriya Dal_total_votes,Bhartiya Rashtriya Dal_vote_share,Bhumiputra United Party_candidate,Bhumiputra United Party_total_votes,Bhumiputra United Party_vote_share,Communist Party of India_candidate,Communist Party of India_total_votes,Communist Party of India_vote_share,Communist Party of India (Marxist)_candidate,Communist Party of India (Marxist)_total_votes,Communist Party of India (Marxist)_vote_share,Communist Party of India (Marxist-Leninist) (Liberation)_candidate,Communist Party of India (Marxist-Leninist) (Liberation)_total_votes,Communist Party of India (Marxist-Leninist) (Liberation)_vote_share,Gana Suraksha Party_candidate,Gana Suraksha Party_total_votes,Gana Suraksha Party_vote_share,Gondvana Gantantra Party_candidate,Gondvana Gantantra Party_total_votes,Gondvana Gantantra Party_vote_share,Guruchand Sena Dal_candidate,Guruchand Sena Dal_total_votes,Guruchand Sena Dal_vote_share,Hindu Samaj Party_candidate,Hindu Samaj Party_total_votes,Hindu Samaj Party_vote_share,Independent_candidate,Independent_total_votes,Independent_vote_share,Independent Nationalist Front_candidate,Independent Nationalist Front_total_votes,Independent Nationalist Front_vote_share,Indian National Congress_candidate,Indian National Congress_total_votes,Indian National Congress_vote_share,Indian National League_candidate,Indian National League_total_votes,Indian National League_vote_share,Indian National Socialistic Action Forces_candidate,Indian National Socialistic Action Forces_total_votes,Indian National Socialistic Action Forces_vote_share,Indian Union Muslim League_candidate,Indian Union Muslim League_total_votes,Indian Union Muslim League_vote_share,Indian Unity Centre_candidate,Indian Unity Centre_total_votes,Indian Unity Centre_vote_share,Jamat-E-Seratul Mustakim_candidate,Jamat-E-Seratul Mustakim_total_votes,Jamat-E-Seratul Mustakim_vote_share,Jan Sangh Party_candidate,Jan Sangh Party_total_votes,Jan Sangh Party_vote_share,Jatiya Unnayan Party_candidate,Jatiya Unnayan Party_total_votes,Jatiya Unnayan Party_vote_share,Jharkhand Loktantrik Krantikari Morcha_candidate,Jharkhand Loktantrik Krantikari Morcha_total_votes,Jharkhand Loktantrik Krantikari Morcha_vote_share,Justice and Development Party_candidate,Justice and Development Party_total_votes,Justice and Development Party_vote_share,Kamatapur People's Party (United)_candidate,Kamatapur People's Party (United)_total_votes,Kamatapur People's Party (United)_vote_share,Magadh Congress of India_candidate,Magadh Congress of India_total_votes,Magadh Congress of India_vote_share,Mera Bharat Mahan Party_candidate,Mera Bharat Mahan Party_total_votes,Mera Bharat Mahan Party_vote_share,Mulnibasi Party of India_candidate,Mulnibasi Party of India_total_votes,Mulnibasi Party of India_vote_share,National Republic Party Of India_candidate,National Republic Party Of India_total_votes,National Republic Party Of India_vote_share,Nationalist Conservative Party_candidate,Nationalist Conservative Party_total_votes,Nationalist Conservative Party_vote_share,None of the Above_candidate,None of the Above_total_votes,None of the Above_vote_share,North Bengal People's Party_candidate,North Bengal People's Party_total_votes,North Bengal People's Party_vote_share,Party for Democratic Socialism_candidate,Party for Democratic Socialism_total_votes,Party for Democratic Socialism_vote_share,Peoples Party of India (Democratic)_candidate,Peoples Party of India (Democratic)_total_votes,Peoples Party of India (Democratic)_vote_share,Prajashakti Party Samdarshi_candidate,Prajashakti Party Samdarshi_total_votes,Prajashakti Party Samdarshi_vote_share,Rashtriya Lok Janshakti Party_candidate,Rashtriya Lok Janshakti Party_total_votes,Rashtriya Lok Janshakti Party_vote_share,Rashtriya Secular Majlis Party_candidate,Rashtriya Secular Majlis Party_total_votes,Rashtriya Secular Majlis Party_vote_share,Rastriya Aam Jan Seva Party_candidate,Rastriya Aam Jan Seva Party_total_votes,Rastriya Aam Jan Seva Party_vote_share,Revolutionary Socialist Party_candidate,Revolutionary Socialist Party_total_votes,Revolutionary Socialist Party_vote_share,Right to Recall Party_candidate,Right to Recall Party_total_votes,Right to Recall Party_vote_share,Samata Party_candidate,Samata Party_total_votes,Samata Party_vote_share,Social Democratic Party Of India_candidate,Social Democratic Party Of India_total_votes,Social Democratic Party Of India_vote_share,Socialist Party (India)_candidate,Socialist Party (India)_total_votes,Socialist Party (India)_vote_share,Socialist Unity Centre Of India (COMMUNIST)_candidate,Socialist Unity Centre Of India (COMMUNIST)_total_votes,Socialist Unity Centre Of India (COMMUNIST)_vote_share,Swaraj India_candidate,Swaraj India_total_votes,Swaraj India_vote_share,Vikas India Party_candidate,Vikas India Party_total_votes,Vikas India Party_vote_share,Welfare Party Of India_candidate,Welfare Party Of India_total_votes,Welfare Party Of India_vote_share,West Bengal Socialist Party_candidate,West Bengal Socialist Party_total_votes,West Bengal Socialist Party_vote_share
ALIPURDUARS - 12,ABDUL LATIF CHOUDHURY,647,0.28,,,,,,,,,,,,,,,,SUMAN KANJILAL,72822,31.33,,,,,,,,,,,,,,,,,,,PARITOSH DAS,143242,61.62,,,,,,,,,,,,,,,,,,,,,,SHYAMAL ROY,7301,3.14,,,,,,,,,,,,,,,,ABINASH DAS,954,0.41,,,,MRINMOY SARKAR (PAPAN),2644,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANIK BARMAN,374,0.16,,,,,,,,,,,,,,,,NOTA,2620,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIJUSH KANTI SARMA,408,0.18,,,,,,,,,,,,
AMDANGA - 102,GOLAM MD NIZAMUDDIN,436,0.2,,,,,,,,,,,,,BISWAJIT MAITY,46181,21.63,MOHAMMAD KASEM SIDDIQUE,81670,38.25,,,,,,,,,,MOUFUL DAS,439,0.21,,,,,,,ARINDAM DEY,78675,36.85,,,,ABDUL SAMAD GAZI,596,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.MUKTAR AHAMED,1174,0.55,,,,GOPAL GHOSH,1158,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARIPADA BISWAS,391,0.18,,,,,,,NOTA,1569,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAMAL UDDIN,423,0.2,,,,,,,,,,,,
AMTA - 181,SK MASAREKUL ANOWAR,186,0.08,,,,,,,,,,,,,,,,SUKANTA KUMAR PAUL,100195,42.28,,,,,,,,,,,,,,,,,,,AMIT SAMANTA,104649,44.16,,,,,,,,,,,,,,,,,,,,,,JOSHIMUDDIN MALLICK,23193,9.79,,,,,,,,,,,,,,,,BAISAKHI MALIK,1498,0.63,,,,TAPAN DAS,2350,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTA,1855,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANJEEB SANTARA,614,0.26,,,,,,,,,,,,
ARAMBAG - 200,,,,,,,,,,,,,,,,,,,BAG MITA,94041,39.87,,,,,,,,,,KAJALLATA KUNDU,1589,0.67,,,,,,,BAG HEMANTA,123000,52.15,,,,,,,,,,,,,,,,,,,,,,BITHIKA PANDIT,11414,4.84,,,,,,,,,,,,,,,,HEMANTA BAG,1929,0.82,,,,SUSHIL SANTRA,2296,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTA,1606,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASANSOL DAKSHIN - 280,,,,,,,,,,,,,,,,,,,TAPAS BANERJEE,78743,36.49,,,,BIBEKANANDA SADHU,369,0.17,,,,,,,,,,,,,AGNIMITRA PAUL,119582,55.42,,,,,,,,,,,,,,,,,,,,,,SILPI CHAKRABORTY,10390,4.81,,,,,,,,,,,,,,,,DIPIKA BAURI,1304,0.6,,,,SOUVIK MUKHERJEE,1367,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTA,2857,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANUP BHATTACHARYA,391,0.18,,,,,,,,,,,,
ASANSOL UTTAR - 281,,,,,,,,,,,,,DANISH AZIZ,493,0.23,,,,MOLOY GHATAK,92901,44.11,,,,,,,,,,,,,,,,,,,KRISHNENDU MUKHERJEE,104516,49.63,,,,,,,,,,,,,,,,,,,AKHILESH KUMAR SINGH,4779,2.27,,,,,,,,,,BALIRAM GOND,98,0.05,,,,,,,MD. NASIM ANSARI,1520,0.72,,,,PRASENJIT PUITANDY,1980,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTA,2755,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KALLOL KUMAR RAY,241,0.11,,,,,,,,,,,,
ASHOKNAGAR - 101,SHIKHA GHOSH,610,0.28,,,,,,,,,,,,,TAPAS BANERJEE,29493,13.42,NARAYAN GOSWAMI,87399,39.77,,,,,,,,,,TARAKESWAR HAWLADER,658,0.3,,,,,,,DR. SUMAY HIRA,96807,44.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAPAS BANERJEE,1285,0.58,,,,ANGSHUMAN ROY,1417,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTA,1161,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TARAK DAS,628,0.29,,,,,,,,,,,,
AUSGRAM - 273,,,,,,,,,,,,,,,,,,,SHYAMA PRASANNA LOHAR,95157,42.13,,,,,,,,,,,,,,,,,,,KALITA MAJI,107692,47.68,,,,,,,,,,,,,,,,,,,,,,CHANCHAL KUMAR MAJHI,16478,7.29,,,,,,,,,,,,,,,,NIHAR KUMAR HAZRA,914,0.4,,,,TAPAS BARAL,2082,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTA,2425,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANASA METE,1138,0.5,,,,,,,,,,,,
BADURIA - 99,IBRAHIM MOLLA,530,0.23,,,,,,,,,,,,,MD. KUTUBUDDIN FATEHE,49700,21.86,BURHANUL MUKADDIM (LITON),103334,45.45,,,,,,,,,,GOPAL DAS,558,0.25,,,,,,,SUKRITI KUMAR SARKAR,63273,27.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEDORA BIBI,1211,0.53,,,,ABDUR RAHIM QUAZI,3651,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTA,1387,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NITAIKRISHNA PAL,321,0.14,,,,SAFIKUL ISLAM DAFADAR,256,0.11,,,,,,
BAGDA - 94,,,,,,,GOUR BISWAS,4700,2.16,,,,,,,,,,MADHUPARNA THAKUR,86691,39.91,,,,,,,,,,GOUTAM MALO,565,0.26,,,,,,,SOMA THAKUR,121307,55.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KALIPADA BISWAS,627,0.29,,,,KIRTTANIYA PRABIR (BAPI),847,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTA,718,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWAPAN MONDAL,475,0.22,,,,,,,,,,,,
