constituency_name,choice,median,ci_low,ci_high
Alipurduars,AITC,32.4412343005509,31.9760448012084,32.9632390006826
Amdanga,AITC,32.6329087459511,32.174585929506,33.1106454412796
Amta,AITC,35.1592288643698,34.7566340763943,35.5847461381375
Arambag,AITC,33.3392003236014,32.9079990455971,33.7917779084776
Asansol Dakshin,AITC,32.6490627301708,32.1946477477167,33.1169634809911
Asansol Uttar,AITC,36.0562197595399,35.5735442312499,36.5197479948699
Ashoknagar,AITC,33.1448754993851,32.7143679775361,33.5993553689365
Ausgram,AITC,34.242653257123,33.84324669797,34.6656582252847
Baduria,AITC,36.1090716610141,35.6864949033622,36.5883093251566
Bagda,AITC,33.7906772042294,33.3703584070339,34.2269841848263
Baghmundi,AITC,30.7034218551278,30.1256287415412,31.3482109695585
Bagnan,AITC,36.4326860285844,35.9526111938601,36.9186899744043
Baharampur,AITC,28.782788153342,28.0879365418383,29.6387899268598
Baisnabnagar,AITC,31.7991879345487,31.3007437225176,32.3536982121159
Balagarh,AITC,34.0647116306004,33.6506802466536,34.4967616545469
Balarampur (Purulia),AITC,33.4916642644568,33.0723375363862,33.9379592408447
Bally,AITC,31.3042099679683,30.6904506064635,31.9304367251121
Ballygunge,AITC,41.8433059671415,40.6575620597915,42.9805868731988
Balurghat,AITC,30.4625786240868,29.8679036295799,31.0761403754536
Bandwan,AITC,34.9197363450774,34.5018546070042,35.4175917128441
Bangaon Dakshin,AITC,34.0483586486699,33.6658136230513,34.477777885449
Bangaon Uttar,AITC,32.7061145155882,32.2496703870756,33.178006660974
Bankura,AITC,33.128365396157,32.6949808747497,33.5847513021766
Barabani,AITC,35.6066005960232,35.066166488696,36.1126071594849
Baranagar,AITC,35.8291065093282,35.254059152589,36.367748218343
Barasat,AITC,34.4203386058582,34.0067358446424,34.8561937377561
Barjora,AITC,32.9365927057676,32.4915552117626,33.4026800325438
Barrackpur,AITC,33.1319635935716,32.6567810725244,33.6430549461672
Baruipur Paschim,AITC,38.2281574838333,37.6197112362683,38.8121212434904
Baruipur Purba,AITC,37.5203081971165,36.9628740395587,38.0464774800925
Basanti,AITC,36.3528538675909,35.9040128766319,36.8371864350892
Basirhat Dakshin,AITC,35.6516170064293,35.2238621536065,36.1327028343033
Basirhat Uttar,AITC,38.8497518027607,38.1923755920567,39.4453347780519
Behala Paschim,AITC,35.8522109387636,35.4114949952715,36.3097523678815
Behala Purba,AITC,35.7259388775351,35.2953570061765,36.1699939126241
Beldanga,AITC,37.3258959596921,36.7910529522979,37.8586303802499
Beleghata,AITC,40.0279324551383,39.059194722691,40.9339615477915
Bhabanipur,AITC,36.6966658502252,35.9215670392434,37.4360130382785
Bhagabangola,AITC,42.5513911512304,41.5052307285945,43.5604685102353
Bhagabanpur,AITC,32.8755369347331,32.4220053418953,33.3585433326143
Bhangar,AITC,30.3519395062167,29.7118256581881,31.1169228968761
Bharatpur,AITC,35.4739890153948,35.0124758229284,35.9156056060102
Bhatar,AITC,35.7380063889349,35.3122928748472,36.1799584277478
Bhatpara,AITC,30.3362196531623,29.6477777208468,31.0883673094447
Bidhannagar,AITC,33.4955116048291,33.0542144116956,33.9748620789136
Bijpur,AITC,33.452877530767,32.9212494696241,34.0159727601794
Binpur,AITC,36.2687640704866,35.7756585213603,36.7600847674694
Bishnupur (Bankura),AITC,31.9173236539469,31.4287611586963,32.4355125410946
Bishnupur (South 24 Parganas),AITC,38.7957216438971,38.1428490853397,39.3870260319854
Bolpur,AITC,36.089021743397,35.6401800946428,36.5567551810768
Budge Budge,AITC,37.9982027773752,37.4115328011079,38.5607631445072
Burdwan Dakshin,AITC,33.3571092281355,32.9348839291843,33.8097141493673
Burdwan Uttar,AITC,34.5658394112258,34.1328853210535,35.0667008457148
Burwan,AITC,33.5857946000608,33.1653746584707,34.0418966118818
Canning Paschim,AITC,35.9940792137016,35.5633086989561,36.4473459818164
Canning Purba,AITC,36.82954575141,36.3502270081968,37.3295665617363
Chakdaha,AITC,32.3842823482914,31.9167808081138,32.8803082672039
Chakulia,AITC,34.7818324458338,34.3211067861996,35.2423516639091
Champdani,AITC,35.4341223266889,35.0114831224105,35.8634108757696
Chanchal,AITC,38.3061206638731,37.6797264432078,38.925003380056
Chandannagar,AITC,34.1439890077667,33.7377694810584,34.5914531805682
Chandipur,AITC,35.6252372401204,35.2037881324191,36.0644440611934
Chanditala,AITC,35.3909259758159,34.9710300507147,35.8223714512609
Chandrakona,AITC,35.7571246463979,35.3179160377908,36.285418960654
Chapra,AITC,30.0704284054599,29.4518419354671,30.8076449680061
Chhatna,AITC,32.4717592267687,32.0033009348234,32.9451425053304
Chopra,AITC,39.5358916795749,38.7936789117455,40.2641113909361
Chowranghee,AITC,38.175874613766,37.1745677036703,39.1401434906489
Chunchura,AITC,34.7657428741354,34.3094101071237,35.3154325006363
Cooch Behar Dakshin,AITC,33.1953425172071,32.7699094638226,33.6555000269946
Cooch Behar Uttar,AITC,33.6412445111508,33.2001927195044,34.1491255879063
Dabgram-Phulbari,AITC,32.3384359317912,31.8072737916263,32.9850541368832
Dantan,AITC,34.6124131251522,34.2201649288813,35.0384481447093
Darjeeling,AITC,18.7922847131181,17.4832436580756,20.6365466233967
Daspur,AITC,36.3192251273212,35.8795447988643,36.7967497386565
Debra,AITC,34.2575109360112,33.8654539233451,34.6785698648366
Deganga,AITC,34.3815143219137,33.9824062934468,34.8040861654449
Dhanekhali,AITC,37.1802842950513,36.6728614265844,37.6975432226299
