constituency_name,median_AITC,median_NDA,median_OTHER,ci_low_AITC,ci_low_NDA,ci_low_OTHER,ci_high_AITC,ci_high_NDA,ci_high_OTHER,winner,AITC_2021,NDA_2021,OTHER_2021,aitc_swing,nda_swing,other_swing,margin,surveyed
Alipurduars,39.9263776841635,45.4236295753471,14.6499927404894,31.9760448012084,36.4512948954252,11.650583119423,32.9632390006826,37.3132439030363,12.1661817960355,NDA,0.41,0.482,0.108,-1.07362231583655,-2.77637042465287,3.84999274048941,-5.49725189118369,TRUE
Amdanga,40.3695178064917,36.5226383041617,23.1078438893466,32.174585929506,29.027379649754,18.2413705523391,33.1106454412796,30.0041894566897,19.1136076568471,AITC,0.42,0.3,0.28,-1.63048219350829,6.52263830416172,-4.89215611065343,3.84687950233,TRUE
Amta,43.5629306534117,40.2078363492405,16.2292329973478,34.7566340763943,32.0905056680477,12.8727773159967,35.5847461381375,32.7904936399661,13.3452753410088,AITC,0.491,0.365,0.144,-5.53706934658835,3.70783634924052,1.82923299734783,3.35509430417113,TRUE
Arambag,41.0886454196811,44.9002972274812,14.0110573528377,32.9079990455971,36.042419066683,11.1403833129662,33.7917779084776,36.8106054508077,11.623886890468,NDA,0.436,0.469,0.095,-2.51135458031892,-1.99970277251877,4.51105735283769,-3.81165180780015,TRUE
Asansol Dakshin,40.7357585942097,44.1023694137981,15.1618719919922,32.1946477477167,34.9262516538325,11.9267226467597,33.1169634809911,35.7141355065177,12.3939434272566,NDA,0.428,0.451,0.121,-2.06424140579035,-0.9976305862019,3.06187199199225,-3.36661081958845,TRUE
Asansol Uttar,45.0186242596272,42.6980671780432,12.2833085623296,35.5735442312499,33.7683527166545,9.61439344066376,36.5197479948699,34.5949613465806,10.0754108018695,AITC,0.523,0.414,0.063,-7.28137574037277,1.2980671780432,5.98330856232956,2.32055708158403,TRUE
Ashoknagar,40.9076379821707,37.7883646897894,21.30399732804,32.7143679775361,30.1764298983282,16.914984778682,33.5993553689365,31.0575408094299,17.6299105851286,AITC,0.432,0.323,0.245,-2.29236201782935,5.48836468978938,-3.19600267196003,3.11927329238127,TRUE
Ausgram,42.2546698541439,42.2121425273961,15.53318761846,33.84324669797,33.848359485707,12.3696274441628,34.6656582252847,34.5514299982184,12.8325499429464,AITC,0.462,0.408,0.13,-3.94533014585606,1.41214252739606,2.53318761846,0.0425273267478872,TRUE
Baduria,44.6570871173028,33.8508124190516,21.4921004636456,35.6864949033622,26.8842490873751,16.9930115142581,36.5883093251566,27.8522643316511,17.7635400860239,AITC,0.515,0.25,0.235,-6.8429128826972,8.85081241905161,-2.00789953635441,10.8062746982512,TRUE
Bagda,41.6689887293684,45.9406257797257,12.390385490906,33.3703584070339,36.8211890236675,9.80038402487464,34.2269841848263,37.6365296051561,10.3186607683798,NDA,0.449,0.494,0.057,-3.23101127063164,-3.45937422027433,6.69038549090596,-4.27163705035731,TRUE
